"","V1","V2","V3"
"1","pop_den_label","MedInc_label","0.632144014075092"
"2","pop_den_label","pop_den_label","0.42185241809551"
"3","MedInc_label","MedInc_label","0.336167290247961"
"4","pop_den_label","MedAge_label","0.488340780124933"
"5","pop_den_label","pop_den_label","0.42185241809551"
"6","MedAge_label","MedAge_label","0.0681576950758841"
"7","pop_den_label","Per_White_label","0.572355238926596"
"8","pop_den_label","pop_den_label","0.42185241809551"
"9","Per_White_label","Per_White_label","0.0674108918250815"
"10","pop_den_label","Per_Bach_label","0.636351347164197"
"11","pop_den_label","pop_den_label","0.42185241809551"
"12","Per_Bach_label","Per_Bach_label","0.402437549935061"
"13","pop_den_label","Per_Public_label","0.536582647285053"
"14","pop_den_label","pop_den_label","0.42185241809551"
"15","Per_Public_label","Per_Public_label","0.157117445116271"
"16","pop_den_label","pos_label","0.670437293180699"
"17","pop_den_label","pop_den_label","0.42185241809551"
"18","pos_label","pos_label","0.444645648842953"
"19","pop_den_label","hosp_den_label","0.671070841747172"
"20","pop_den_label","pop_den_label","0.42185241809551"
"21","hosp_den_label","hosp_den_label","0.540273364351422"
"22","pop_den_label","transit_den_label","0.551244224037146"
"23","pop_den_label","pop_den_label","0.42185241809551"
"24","transit_den_label","transit_den_label","0.286391006619676"
"25","pop_den_label","non_transit_den_label","0.519386985245261"
"26","pop_den_label","pop_den_label","0.42185241809551"
"27","non_transit_den_label","non_transit_den_label","0.157982228151257"
"28","pop_den_label","stop_den_label","0.517119030160949"
"29","pop_den_label","pop_den_label","0.42185241809551"
"30","stop_den_label","stop_den_label","0.13653803653067"
"31","MedInc_label","MedAge_label","0.504785792105326"
"32","MedInc_label","MedInc_label","0.336167290247961"
"33","MedAge_label","MedAge_label","0.0681576950758841"
"34","MedInc_label","Per_White_label","0.418907697254664"
"35","MedInc_label","MedInc_label","0.336167290247961"
"36","Per_White_label","Per_White_label","0.0674108918250815"
"37","MedInc_label","Per_Bach_label","0.48115997059688"
"38","MedInc_label","MedInc_label","0.336167290247961"
"39","Per_Bach_label","Per_Bach_label","0.402437549935061"
"40","MedInc_label","Per_Public_label","0.627713335125336"
"41","MedInc_label","MedInc_label","0.336167290247961"
"42","Per_Public_label","Per_Public_label","0.157117445116271"
"43","MedInc_label","pos_label","0.581490775229654"
"44","MedInc_label","MedInc_label","0.336167290247961"
"45","pos_label","pos_label","0.444645648842953"
"46","MedInc_label","hosp_den_label","0.639884823805499"
"47","MedInc_label","MedInc_label","0.336167290247961"
"48","hosp_den_label","hosp_den_label","0.540273364351422"
